housing_median_age,total_rooms,total_bedrooms,median_house_value
41,880,129,452600
21,7099,1106,358500
52,1467,190,352100
52,1274,235,341300
52,1627,280,342200
52,919,213,269700
52,2535,489,299200
52,3104,687,241400
42,2555,665,226700
52,3549,707,261100
52,2202,434,281500
52,3503,752,241800
52,2491,474,213500
52,696,191,191300
52,2643,626,159200
50,1120,283,140000
52,1966,347,152500
52,1228,293,155500
50,2239,455,158700
52,1503,298,162900
40,751,184,147500
42,1639,367,159800
52,2436,541,113900
52,1688,337,99700
52,2224,437,132600
41,535,123,107500
49,1130,244,93800
52,1898,421,105500
50,2082,492,108900
52,729,160,132000
49,1916,447,122300
52,2153,481,115200
48,1922,409,110400
49,1655,366,104900
51,2665,574,109700
49,1215,282,97200
48,1798,432,104500
52,1511,390,103900
52,1470,330,191400
52,2432,715,176000
52,1665,419,155400
51,936,311,150000
49,713,202,118800
52,950,202,188800
52,1443,311,184400
52,1656,420,182300
50,1125,322,142500
43,1007,312,137500
40,624,195,187500
40,946,375,112500
21,896,453,171900
43,1868,456,93800
41,3221,853,97500
52,1630,456,104200
52,1170,235,87500
52,945,243,83100
52,1238,288,87500
52,1489,335,85300
52,1387,341,80300
2,158,43,60000
52,1121,211,75700
49,135,29,75000
50,760,190,86100
52,1224,237,76100
48,828,182,73500
52,1010,209,78400
48,1455,354,84400
52,1027,244,81300
52,572,109,85000
46,2801,644,129200
26,768,152,82500
46,935,297,95200
49,844,204,75000
46,12,4,67500
20,835,161,137500
17,1237,462,177500
36,2914,562,102100
19,1207,243,108300
23,1745,374,112500
38,684,176,131300
17,924,289,162500
52,210,56,112500
52,340,97,112500
52,386,164,137500
35,948,184,118800
52,773,143,98200
40,880,451,118800
10,875,348,162500
10,105,42,137500
52,249,78,500001
16,994,392,162500
52,215,87,137500
52,96,31,162500
27,1055,347,187500
39,1715,623,179200
36,5329,2477,130000
31,4596,1331,183800
29,335,107,125000
22,3682,1270,170000
